;CO;NO2;O3;PM10;PM25;SO2;prevalencia_Sibilancias;prevalencia_Tos;prevalencia_Congestión_nasal;prevalencia_Todos
CO;1,0;0,7767727683998648;0,0016810515391253635;0,43677186890712305;0,6664174059690184;0,42527231738226773;-0,07118438754681482;-0,21851861615472762;-0,04567800567594145;-0,11161974394306177
NO2;0,7767727683998648;1,0;-0,24485779651795508;0,6469382870548789;0,7022190461552162;0,49952263837122984;0,012377814470152194;-0,16687676460183157;0,06744283890648264;-0,011266547747702306
O3;0,0016810515391253635;-0,24485779651795508;1,0;-0,1714495150756589;-0,11643779088078163;-0,1600798222451544;0,024490935079158012;0,04153223192266103;-0,06048929593867479;-0,03248120352908298
PM10;0,43677186890712305;0,6469382870548789;-0,1714495150756589;1,0;0,8682902002582596;0,809548684820874;0,06465453541333792;-0,07634217174384846;0,21080540065884412;0,1141965017893906
PM25;0,6664174059690184;0,7022190461552162;-0,11643779088078163;0,8682902002582596;1,0;0,6872723498442254;0,044441361243216945;-0,12579263598146345;0,12736672249472403;0,05262961468439655
SO2;0,42527231738226773;0,49952263837122984;-0,1600798222451544;0,809548684820874;0,6872723498442254;1,0;0,03734597354065775;-0,021584282709808267;0,11002515031751231;0,04723487747015086
prevalencia_Sibilancias;-0,07118438754681482;0,012377814470152194;0,024490935079158012;0,06465453541333792;0,044441361243216945;0,03734597354065775;1,0;0,4598849659482879;0,37220114016386724;0,5913635192276854
prevalencia_Tos;-0,21851861615472762;-0,16687676460183157;0,04153223192266103;-0,07634217174384846;-0,12579263598146345;-0,021584282709808267;0,4598849659482879;1,0;0,3165344679714327;0,5714804255790732
prevalencia_Congestión_nasal;-0,04567800567594145;0,06744283890648264;-0,06048929593867479;0,21080540065884412;0,12736672249472403;0,11002515031751231;0,37220114016386724;0,3165344679714327;1,0;0,8468096464035229
prevalencia_Todos;-0,11161974394306177;-0,011266547747702306;-0,03248120352908298;0,1141965017893906;0,05262961468439655;0,04723487747015086;0,5913635192276854;0,5714804255790732;0,8468096464035229;1,0
